ticker,name,sector
AAPL,Apple Inc,Technology
MSFT,Microsoft Corp,Technology
NVDA,NVIDIA Corp,Technology
AVGO,Broadcom Inc,Technology
ORCL,Oracle Corp,Technology
CRM,Salesforce Inc,Technology
CSCO,Cisco Systems,Technology
ACN,Accenture PLC,Technology
ADBE,Adobe Inc,Technology
INTU,Intuit Inc,Technology
AMD,Advanced Micro Devices,Technology
QCOM,Qualcomm Inc,Technology
TXN,Texas Instruments,Technology
AMAT,Applied Materials,Technology
LRCX,Lam Research,Technology
KLAC,KLA Corp,Technology
MRVL,Marvell Technology,Technology
NOW,ServiceNow Inc,Technology
PANW,Palo Alto Networks,Technology
CRWD,CrowdStrike Holdings,Technology
FTNT,Fortinet Inc,Technology
WDAY,Workday Inc,Technology
VEEV,Veeva Systems,Technology
INTC,Intel Corp,Technology
MU,Micron Technology,Technology
ADI,Analog Devices,Technology
NXPI,NXP Semiconductors,Technology
MCHP,Microchip Technology,Technology
MPWR,Monolithic Power Systems,Technology
ON,ON Semiconductor,Technology
CDNS,Cadence Design Systems,Technology
SNPS,Synopsys Inc,Technology
ANSS,Ansys Inc,Technology
PLTR,Palantir Technologies,Technology
SNOW,Snowflake Inc,Technology
DDOG,Datadog Inc,Technology
NET,Cloudflare Inc,Technology
ZS,Zscaler Inc,Technology
OKTA,Okta Inc,Technology
ADSK,Autodesk Inc,Technology
CTSH,Cognizant Technology Solutions,Technology
HPQ,HP Inc,Technology
HPE,Hewlett Packard Enterprise,Technology
WDC,Western Digital,Technology
STX,Seagate Technology,Technology
NTAP,NetApp Inc,Technology
GDDY,GoDaddy Inc,Technology
ZBRA,Zebra Technologies,Technology
CDW,CDW Corp,Technology
VRSK,Verisk Analytics,Technology
MSCI,MSCI Inc,Technology
LDOS,Leidos Holdings,Technology
SAIC,Science Applications International,Technology
BAH,Booz Allen Hamilton,Technology
KEYS,Keysight Technologies,Technology
TDY,Teledyne Technologies,Technology
EPAM,EPAM Systems,Technology
SWKS,Skyworks Solutions,Technology
HUBS,HubSpot Inc,Technology
TWLO,Twilio Inc,Technology
PTC,PTC Inc,Technology
GEN,Gen Digital,Technology
JNPR,Juniper Networks,Technology
FSLR,First Solar,Technology
ENPH,Enphase Energy,Technology
GOOGL,Alphabet Inc Class A,Technology
GOOG,Alphabet Inc Class C,Technology
META,Meta Platforms,Technology
NFLX,Netflix Inc,Communication Services
DIS,Walt Disney Co,Communication Services
CMCSA,Comcast Corp,Communication Services
T,AT&T Inc,Communication Services
VZ,Verizon Communications,Communication Services
TMUS,T-Mobile US,Communication Services
CHTR,Charter Communications,Communication Services
WBD,Warner Bros Discovery,Communication Services
PARA,Paramount Global,Communication Services
FOXA,Fox Corp Class A,Communication Services
FOX,Fox Corp Class B,Communication Services
OMC,Omnicom Group,Communication Services
IPG,Interpublic Group,Communication Services
IAC,IAC Inc,Communication Services
TTD,Trade Desk,Communication Services
SNAP,Snap Inc,Communication Services
PINS,Pinterest Inc,Communication Services
RBLX,Roblox Corp,Communication Services
MTCH,Match Group,Communication Services
LYFT,Lyft Inc,Communication Services
ZG,Zillow Group,Communication Services
UNH,UnitedHealth Group,Healthcare
JNJ,Johnson & Johnson,Healthcare
LLY,Eli Lilly,Healthcare
ABT,Abbott Laboratories,Healthcare
MRK,Merck & Co,Healthcare
ABBV,AbbVie Inc,Healthcare
TMO,Thermo Fisher Scientific,Healthcare
DHR,Danaher Corp,Healthcare
PFE,Pfizer Inc,Healthcare
AMGN,Amgen Inc,Healthcare
GILD,Gilead Sciences,Healthcare
CVS,CVS Health,Healthcare
CI,Cigna Group,Healthcare
HCA,HCA Healthcare,Healthcare
ELV,Elevance Health,Healthcare
HUM,Humana Inc,Healthcare
MCK,McKesson Corp,Healthcare
BMY,Bristol-Myers Squibb,Healthcare
REGN,Regeneron Pharmaceuticals,Healthcare
VRTX,Vertex Pharmaceuticals,Healthcare
BIIB,Biogen Inc,Healthcare
MRNA,Moderna Inc,Healthcare
ZTS,Zoetis Inc,Healthcare
BSX,Boston Scientific,Healthcare
MDT,Medtronic PLC,Healthcare
SYK,Stryker Corp,Healthcare
ISRG,Intuitive Surgical,Healthcare
IDXX,IDEXX Laboratories,Healthcare
EW,Edwards Lifesciences,Healthcare
DXCM,DexCom Inc,Healthcare
PODD,Insulet Corp,Healthcare
RMD,ResMed Inc,Healthcare
IQV,IQVIA Holdings,Healthcare
MTD,Mettler-Toledo International,Healthcare
A,Agilent Technologies,Healthcare
HOLX,Hologic Inc,Healthcare
ALGN,Align Technology,Healthcare
CRL,Charles River Laboratories,Healthcare
INCY,Incyte Corp,Healthcare
ALNY,Alnylam Pharmaceuticals,Healthcare
BIO,Bio-Rad Laboratories,Healthcare
COO,Cooper Companies,Healthcare
CAH,Cardinal Health,Healthcare
CNC,Centene Corp,Healthcare
MOH,Molina Healthcare,Healthcare
UHS,Universal Health Services,Healthcare
THC,Tenet Healthcare,Healthcare
STE,Steris PLC,Healthcare
GEHC,GE HealthCare Technologies,Healthcare
PKI,Revvity Inc,Healthcare
HSIC,Henry Schein Inc,Healthcare
WMT,Walmart Inc,Consumer Staples
PG,Procter & Gamble,Consumer Staples
KO,Coca-Cola Co,Consumer Staples
PEP,PepsiCo Inc,Consumer Staples
PM,Philip Morris,Consumer Staples
MO,Altria Group,Consumer Staples
COST,Costco Wholesale,Consumer Staples
CL,Colgate-Palmolive,Consumer Staples
GIS,General Mills,Consumer Staples
SYY,Sysco Corp,Consumer Staples
HSY,Hershey Co,Consumer Staples
MKC,McCormick Company,Consumer Staples
EL,Estee Lauder,Consumer Staples
STZ,Constellation Brands,Consumer Staples
KR,Kroger Co,Consumer Staples
MDLZ,Mondelez International,Consumer Staples
ADM,Archer-Daniels-Midland,Consumer Staples
BG,Bunge Global,Consumer Staples
TSN,Tyson Foods,Consumer Staples
K,Kellanova,Consumer Staples
CAG,Conagra Brands,Consumer Staples
HRL,Hormel Foods,Consumer Staples
CPB,Campbell Soup Co,Consumer Staples
