"symbol","status","rev3","rev5","rev10","prof3","prof5","prof10","stk3","stk5","stk10","stk_status"
"RELIANCE","ok","6.4","11.0","","6.6","7.4","","","","","rebuild_pending"
"TCS","ok","5.8","","","5.3","","","","","","rebuild_pending"
"INFY","ok","5.7","","","2.1","","","","","","rebuild_pending"
"ITC","under_review","","","","","","","","","",""
"HCLTECH","ok","11.0","","","8.8","","","4.8","8.8","15.7","ok"
"BHARTIARTL","ok","14.9","26.8","","47.3","","","","29.6","19.9","partial"
"LT","ERR2","","","","","","","","","",""
"MARUTI","ok","16.6","20.6","","21.1","39.5","","","","","rebuild_pending"
"WIPRO","under_review","","","","","","","","","",""
"TITAN","ok","23.8","27.9","","16.0","23.6","","","","","rebuild_pending"
"ULTRACEMCO","ok","12.4","14.4","","17.3","2.7","","","","","rebuild_pending"
"HINDUNILVR","ok","2.3","5.5","","14.1","14.1","","-5.0","0.5","11.3","ok"
"NESTLEIND","ok","11.0","","","14.8","","","","","","rebuild_pending"
"BRITANNIA","ok","5.7","8.8","","3.0","7.6","","5.5","10.2","16.0","ok"
"DABUR","ok","4.9","6.6","","3.5","2.3","","-5.7","-2.7","","partial"
"GODREJCP","ok","4.6","5.5","","3.0","1.1","","","4.8","7.9","partial"
"PIDILITIND","ok","7.5","10.3","","24.4","19.3","","","","","rebuild_pending"
"TECHM","under_review","","","","","","","","","",""
"GRASIM","ERR2","","","","","","","","","",""
"EICHERMOT","ok","17.5","21.4","","23.7","32.6","","25.0","21.7","14.8","ok"
"TATACONSUM","ok","13.9","13.1","","8.6","13.3","","","","","rebuild_pending"
"ASIANPAINT","ok","1.1","10.3","","1.7","6.2","","-5.6","-1.2","10.8","ok"
"BAJAJ-AUTO","ok","19.5","16.8","","21.0","17.2","","34.0","23.2","17.7","ok"
"M&M","ok","18.4","22.3","","18.5","27.0","","","","","rebuild_pending"
"HEROMOTOCO","ok","12.0","13.1","","26.9","25.5","","23.8","14.1","","partial"
"TATAMOTORS","under_review","","","","","","","","","",""
"BAJFINANCE","ok","22.6","13.2","","18.2","33.9","","9.8","9.3","28.2","ok"
"BAJAJFINSV","ok","15.9","16.1","","-7.1","5.9","","6.7","7.8","25.3","ok"
"BAJAJHLDNG","ok","25.5","91.4","","25.7","21.4","","","26.4","23.1","partial"
"HDFCLIFE","ok","12.3","10.2","","11.8","9.6","","2.6","-1.7","","partial"
"SBILIFE","ok","11.7","7.9","","12.8","13.2","","","","","rebuild_pending"
"ICICIPRULI","ok","9.1","","","25.5","","","","-1.9","","partial"
"ICICIGI","ok","14.9","14.2","","17.0","21.5","","14.8","5.5","","partial"
"LICI","ok","7.6","7.7","","16.9","93.2","","","","","rebuild_pending"
"ADANIPORTS","ok","22.9","54.7","","34.1","46.0","","35.1","17.2","24.8","ok"
"ADANIENT","ok","-7.7","20.5","","55.9","54.9","","","9.9","53.1","partial"
"ADANIGREEN","ERR2","","","","","","","","","",""
"ADANIPOWER","ok","12.5","15.6","","6.2","58.8","","","59.6","43.5","partial"
"DLF","ok","12.9","8.6","2.3","29.5","32.5","-0.2","","15.4","17.0","partial"
"GODREJPROP","ok","33.3","31.3","","47.9","51.4","","","4.2","","partial"
"OBEROIRLTY","ok","12.9","22.4","","9.6","24.4","","","","","rebuild_pending"
"TRENT","ok","34.8","45.6","","57.0","","","","","","rebuild_pending"
"DMART","ok","24.2","19.0","","22.0","15.8","","","5.2","","partial"
"ZOMATO","ERR2","","","","","","","","","",""
"PAYTM","ERR2","","","","","","","","","",""
"NYKAA","ok","25.1","27.8","","","48.4","","","","","rebuild_pending"
"POLICYBZR","ok","51.7","","","","","","","","","rebuild_pending"
"INDIGO","ok","16.6","34.5","","","","","","","","rebuild_pending"
"LTIM","ERR2","","","","","","","","","",""
"MPHASIS","under_review","","","","","","","","","",""
"COFORGE","under_review","","","","","","","","","",""
"PERSISTENT","under_review","","","","","","","","","",""
"KPITTECH","ok","33.9","","","45.2","","","","","","rebuild_pending"
"TATAELXSI","ok","6.1","11.0","","-5.9","3.4","","","","","rebuild_pending"
"OFSS","ok","10.4","10.1","","13.5","8.7","","","","","rebuild_pending"
"LTTS","ok","17.5","","","9.8","","","","","","rebuild_pending"
"HAVELLS","ok","9.9","12.7","","16.4","9.0","","","3.3","","partial"
"VOLTAS","ERR2","","","","","","","","","",""
"BLUESTARCO","ERR2","","","","","","","","","",""
"CROMPTON","ok","13.4","11.6","","-1.3","2.3","","","-5.2","","partial"
"WHIRLPOOL","ok","6.4","6.7","","10.3","-15.1","","","","","rebuild_pending"
"DIXON","ok","58.9","49.9","","77.9","55.2","","","22.3","","partial"
"AMBER","ERR2","","","","","","","","","",""
"SIEMENS","ok","3.0","","","10.9","","","","","","rebuild_pending"
"ABB","ok","75.6","51.6","","89.6","63.8","","","32.9","20.3","partial"
"BOSCHLTD","ok","11.1","15.6","","24.8","41.9","","","19.9","6.0","partial"
"CUMMINSIND","ok","16.1","22.3","","24.4","30.0","","","48.0","23.1","partial"
"BHARATFORG","ERR2","","","","","","","","","",""
"MOTHERSON","ok","21.4","","","63.3","","","","","","rebuild_pending"
"BALKRISIND","ok","8.1","16.6","","4.9","11.5","","","0.8","","partial"
"MRF","ok","13.7","","","40.8","","","","","","rebuild_pending"
"APOLLOTYRE","ok","5.7","10.4","","9.5","31.4","","","11.6","","partial"
"ESCORTS","ok","12.6","","","19.8","","","","20.0","","partial"
"ASHOKLEY","ok","10.4","23.6","","36.6","","","","21.9","","partial"
"TVSMOTOR","ERR2","","","","","","","","","",""
"PAGEIND","ok","3.9","8.9","","10.2","9.2","","","","","rebuild_pending"
"VBL","ok","17.3","","","26.6","","","","","","rebuild_pending"
"COLPAL","ok","4.9","4.3","","8.2","5.1","","12.2","7.1","","partial"
"MARICO","ok","12.0","9.5","","10.6","9.5","","","","","rebuild_pending"
"EMAMILTD","ok","5.7","7.2","","-1.2","21.7","","","-3.9","","partial"
"GILLETTE","ok","9.4","","","9.9","","","","8.4","","partial"
"PGHH","ok","5.5","","","1.2","","","","","","rebuild_pending"
"JUBLFOOD","ok","22.8","21.4","","6.7","0.5","","","","","rebuild_pending"
"DEVYANI","ok","33.6","","","-61.2","","","","","","rebuild_pending"
"SAPPHIRE","ok","18.8","","","-25.4","","","","","","rebuild_pending"
"WESTLIFE","ERR2","","","","","","","","","",""
"BERGEPAINT","ok","4.0","11.7","","9.4","9.4","","","-5.0","","partial"
"AKZOINDIA","ok","-1.6","3.7","","80.6","61.5","","","","","rebuild_pending"
"KANSAINER","ok","2.4","6.4","","7.6","13.2","","","","","rebuild_pending"
"INDIGOPNTS","ok","14.0","","","19.0","","","","-16.4","","partial"
"PRAJIND","ok","11.6","","","13.4","","","","","","rebuild_pending"
"ABCAPITAL","ERR2","","","","","","","","","",""
"MUTHOOTFIN","ok","38.0","26.3","","43.1","27.4","","","","","rebuild_pending"
"MANAPPURAM","ok","8.3","8.8","","-12.5","-6.8","","","","","rebuild_pending"
"CHOLAFIN","ok","10.0","12.4","","25.2","28.0","","","22.2","22.9","partial"
"SHRIRAMFIN","ok","32.4","","","52.0","","","","","","rebuild_pending"
"L&TFH","under_review","","","","","","","","","",""
"UPL","ok","0.2","","","-37.2","","","","","","rebuild_pending"
"PEL","ERR2","","","","","","","","","",""
"NAUKRI","ok","21.5","","","-57.8","","","","","","rebuild_pending"
"HDFCBANK","ok","32.5","","","20.4","","","-0.6","1.5","11.0","ok"
"ICICIBANK","ok","19.7","17.7","","16.8","21.2","","11.4","15.3","19.8","ok"
"SBIN","ok","12.2","12.8","","14.4","23.9","","","","","rebuild_pending"
"KOTAKBANK","ok","14.6","14.1","","8.9","12.4","","","","","rebuild_pending"
"AXISBANK","ok","12.2","","","34.6","","","11.6","11.7","9.3","ok"
"INDUSINDBK","ok","-0.3","3.4","","-50.7","-34.4","","","","","rebuild_pending"
