ticker,in_universe,cf_row_count,fin_row_count,true_dup,multisrc_only,yoy_spike_50,zero_cf_only_fin,zero_both,is_named_6
20MICRONS,False,82,39,False,True,False,False,False,False
21STCENMGM,False,71,36,False,True,True,False,False,False
360ONE,True,73,27,False,True,False,False,False,False
3IINFOLTD,False,54,19,False,True,False,False,False,False
3IINFOTECH,False,22,15,False,False,True,False,False,False
3MINDIA,True,80,38,False,True,False,False,False,False
3PLAND,False,83,34,False,True,True,False,False,False
5PAISA,False,79,32,False,True,True,False,False,False
63MOONS,False,78,37,False,True,True,False,False,False
A2ZINFRA,False,79,35,False,True,False,False,False,False
AAATECH,False,47,13,False,True,True,False,False,False
AADHARHFC,False,35,9,False,True,False,False,False,False
AAKASH,False,63,22,False,True,True,False,False,False
AAREYDRUGS,False,60,19,False,True,False,False,False,False
AARON,False,64,21,False,True,True,False,False,False
AARTECH,False,41,11,False,True,True,False,False,False
AARTIDRUGS,False,80,38,False,True,False,False,False,False
AARTIIND,False,77,35,False,True,True,False,False,False
AARTIPHARM,False,42,13,False,True,True,False,False,False
AARTISURF,False,67,24,False,True,False,False,False,False
AARVI,False,70,26,False,True,True,False,False,False
AAVAS,False,85,30,False,True,True,False,False,False
ABAN,False,79,35,False,True,False,False,False,False
ABB,True,76,43,False,False,True,False,False,True
ABBOTINDIA,True,25,5,False,False,False,False,False,False
ABCAPITAL,True,80,32,False,True,True,False,False,False
ABCOTS,False,24,5,False,False,False,False,False,False
ABDL,False,34,9,False,True,True,False,False,False
ABFRL,False,74,37,False,True,True,False,False,False
ABINFRA,False,24,6,False,False,True,False,False,False
ABLBL,False,3,2,False,False,False,False,False,False
ABMINTLLTD,False,52,18,False,True,False,False,False,False
ABMINTLTD,False,25,18,False,False,True,False,False,False
ABREL,False,77,36,False,True,True,False,False,False
ABSLAMC,True,59,19,False,True,False,False,False,False
ACC,True,75,39,False,True,True,False,False,False
ACCELYA,False,71,41,False,False,False,False,False,False
ACCURACY,False,65,22,False,True,True,False,False,False
ACE,False,81,39,False,True,False,False,False,False
ACEINTEG,False,48,13,False,True,True,False,False,False
ACI,False,48,14,False,True,False,False,False,False
ACL,False,40,10,False,True,True,False,False,False
ACLGATI,False,62,37,False,False,True,False,False,False
ACMESOLAR,False,23,7,False,False,False,False,False,False
ACUTAAS,False,58,18,False,True,False,False,False,False
ADANIENSOL,True,77,36,False,True,True,False,False,True
ADANIENT,True,83,36,False,True,True,False,False,False
ADANIGREEN,True,78,36,False,True,True,False,False,False
ADANIPORTS,True,82,35,False,True,True,False,False,False
ADANIPOWER,True,83,36,False,True,False,False,False,False
ADFFOODS,False,81,38,False,True,True,False,False,False
ADL,False,67,23,False,True,False,False,False,False
ADOR,False,81,39,False,True,False,False,False,False
ADROITINFO,False,79,36,False,True,True,False,False,False
ADSL,False,76,33,False,True,True,False,False,False
ADVAIT,False,20,5,False,False,True,False,False,False
ADVANCE,False,17,5,False,False,True,False,False,False
ADVANIHOTR,False,82,39,False,True,True,False,False,False
ADVENTHTL,False,10,3,False,False,False,False,False,False
ADVENZYMES,False,82,39,False,True,True,False,False,False
AEGISLOG,True,82,39,False,True,True,False,False,False
AEGISVOPAK,False,16,5,False,False,True,False,False,False
AEPL,False,20,4,False,False,True,False,False,False
AEQUS,False,14,4,False,False,False,False,False,False
AEROENTER,False,48,14,False,True,False,False,False,False
AEROFLEX,False,40,12,False,True,False,False,False,False
AERONEU,False,47,14,False,True,False,False,False,False
AETHER,False,52,15,False,True,False,False,False,False
AFCONS,False,23,7,False,False,False,False,False,False
AFFLE,False,71,29,False,True,True,False,False,False
AFFORDABLE,False,25,6,False,False,False,False,False,False
AFIL,False,31,9,False,True,False,False,False,False
AFSL,False,48,14,False,True,True,False,False,False
AGARIND,False,78,34,False,True,True,False,False,False
AGARWALEYE,False,21,6,False,False,False,False,False,False
AGI,False,81,39,False,True,True,False,False,False
AGIIL,False,28,8,False,False,False,False,False,False
AGRITECH,False,76,34,False,True,True,False,False,False
AGROPHOS,False,69,32,False,True,True,False,False,False
AGSTRA,False,49,16,False,True,False,False,False,False
AHCL,False,20,4,False,False,True,False,False,False
AHLADA,False,61,22,False,True,True,False,False,False
AHLEAST,False,80,36,False,True,True,False,False,False
AHLUCONT,False,82,38,False,True,True,False,False,False
AHLWEST,False,87,38,False,True,True,False,False,False
AIAENG,True,77,34,False,True,False,False,False,False
AIIL,True,34,9,False,True,True,False,False,False
AIRAN,False,72,28,False,True,False,False,False,False
AIROLAM,False,53,17,False,True,False,False,False,False
AJANTPHARM,True,78,36,False,True,False,False,False,False
AJAXENGG,False,22,6,False,False,True,False,False,False
AJMERA,False,81,38,False,True,True,False,False,False
AJOONI,False,60,20,False,True,False,False,False,False
AJRINFRA,False,78,33,False,True,True,False,False,False
AKASH,False,71,27,False,True,False,False,False,False
AKG,False,66,21,False,True,True,False,False,False
AKI,False,41,12,False,True,False,False,False,False
AKSHAR,False,55,17,False,True,False,False,False,False
AKSHARCHEM,False,81,39,False,True,True,False,False,False
AKSHOPTFBR,False,81,37,False,True,False,False,False,False
AKUMS,False,28,8,False,False,False,False,False,False
AKZOINDIA,True,24,5,False,False,False,False,False,False
ALANKIT,False,76,34,False,True,True,False,False,False
ALBERTDAVD,False,82,39,False,True,True,False,False,False
ALEMBICLTD,False,80,37,False,True,True,False,False,False
ALGOQUANT,False,20,5,False,False,True,False,False,False
ALICON,False,74,33,False,True,False,False,False,False
ALIVUS,False,59,20,False,True,False,False,False,False
ALKALI,False,78,34,False,True,True,False,False,False
ALKEM,True,84,36,False,True,False,False,False,False
ALKYLAMINE,False,79,37,False,True,False,False,False,False
ALLCARGO,False,80,37,False,True,True,False,False,False
ALLDIGI,False,78,37,False,True,True,False,False,False
ALLTIME,False,19,5,False,False,False,False,False,False
ALMONDZ,False,83,34,False,True,True,False,False,False
ALOKINDS,False,70,28,False,True,True,False,False,False
ALPA,False,82,39,False,True,True,False,False,False
ALPHAGEO,False,80,37,False,True,True,False,False,False
ALPSINDUS,False,79,36,False,True,True,False,False,False
AMAGI,False,11,4,False,False,False,False,False,False
AMANTA,False,20,5,False,False,False,False,False,False
AMBALALSA,False,0,5,False,False,False,False,False,False
AMBER,True,84,37,False,True,True,False,False,False
AMBICAAGAR,False,81,38,False,True,True,False,False,False
AMBIKCO,False,82,38,False,True,True,False,False,False
