symbol,bucket,sector,new_n,old_n,div_gap,new_fys,new_dup_fys,new_missing_fys,new_yoy_spikes,new_period_end_anomalies,new_min_rev,new_max_rev,cov_tier,validator_warnings,fin_http,cov_http,flagged_corruption,flagged_divergence
RELIANCE,top100_diversified,Conglomerate,3,8,5,FY2026|FY2025|FY2024,,,,,901064.0,1057219.0,B,3,200,200,,gap+5
TCS,top100_diversified,IT Services,3,8,5,FY2026|FY2025|FY2024,,,,,240893.0,267021.0,B,2,200,200,,gap+5
INFY,top100_diversified,IT Services,3,8,5,FY2025|FY2024|FY2023,,,,,1821.2,1927.7,B,2,200,200,,gap+5
ITC,top100_diversified,FMCG,3,9,6,FY2026|FY2025|FY2024,,,,,67391.0,78213.3,B,4,200,200,,gap+6
HCLTECH,top100_diversified,IT Services,3,8,5,FY2025|FY2024|FY2023,,,,,101456.0,117055.0,B,2,200,200,,gap+5
BHARTIARTL,top100_diversified,Telecom,3,8,5,FY2026|FY2025|FY2024,,,,,149982.4,210972.8,B,1,200,200,,gap+5
LT,top100_diversified,Capital Goods,3,9,6,FY2026|FY2025|FY2024,,,,,219115.7,284225.2,B,,200,200,,gap+6
MARUTI,top100_diversified,Auto,3,8,5,FY2026|FY2025|FY2024,,,,,136483.8,180350.1,B,3,200,200,,gap+5
WIPRO,top100_diversified,IT Services,3,7,4,FY2025|FY2024|FY2023,,,,,89088.4,90487.6,B,6,200,200,,gap+4
TITAN,top100_diversified,Consumer Discretionary,3,9,6,FY2026|FY2025|FY2024,,,,,50936.0,76797.0,B,4,200,200,,gap+6
ULTRACEMCO,top100_diversified,Cement,3,8,5,FY2026|FY2025|FY2024,,,,,69809.5,88511.5,B,3,200,200,,gap+5
HINDUNILVR,top100_diversified,FMCG,3,9,6,FY2026|FY2025|FY2024,,,,,60573.0,63763.0,B,1,200,200,,gap+6
NESTLEIND,top100_diversified,FMCG,3,4,1,FY2025|FY2023|FY2022,,FY2024,,,14664.9,20077.5,C,2,200,200,gap,
BRITANNIA,top100_diversified,FMCG,3,9,6,FY2026|FY2025|FY2024,,,,,16546.2,18858.2,B,1,200,200,,gap+6
DABUR,top100_diversified,FMCG,3,9,6,FY2026|FY2025|FY2024,,,,,12261.6,13192.6,B,2,200,200,,gap+6
GODREJCP,top100_diversified,FMCG,3,9,6,FY2026|FY2025|FY2024,,,,,13917.1,15100.1,B,3,200,200,,gap+6
