ticker,company_name,sector,industry,is_active,status,missing_count,has_sector,has_industry,well_covered_annual,years_of_history,fin_annual_rows,fin_quarterly_rows,fin_annual_with_revenue,fin_annual_with_pat,fin_annual_with_fcf,fin_annual_with_equity,fin_annual_inr,fin_annual_usd,fin_oldest_annual,fin_latest_annual,mm_latest_trade_date,mm_market_cap_cr,mm_pe_ratio,mm_pb_ratio,mm_dividend_yield,has_mm_pe,has_mm_pb,has_mm_mcap,rh_latest_period_end,rh_roe,rh_roce,rh_de_ratio,rh_piotroski,has_rh_roe,has_rh_roce,has_rh_de,has_rh_piotroski,fv_total_rows,fv_rows_last_30d,fv_latest_date,dp_rows,dp_latest_date,fresh_price,ca_dividend_count,ca_latest_dividend,ca_split_or_bonus_count,ac_present,ac_cache_version,ac_computed_at
20MICRONS,20 Microns Limited,Basic Materials,Other Industrial Metals & Mining,True,complete,0,True,True,True,9,9,29,9,9,4,4,9,0,2017-03-31,2025-03-31,2026-04-26,619.6310528,9.616649,1.364318,0.71,True,True,True,2025-03-31,14.52761038541209,18.896346286541338,0.38388471501323584,3,True,True,True,True,0,0,,782,2026-04-24,True,0,,0,True,62,2026-04-24 17:38:17.482904+00:00
21STCENMGM,21st Century Management Services Limited,Financial Services,Capital Markets,True,incomplete,3,True,True,False,9,9,27,6,6,1,3,9,0,2017-03-31,2025-03-31,2026-04-26,37.5479968,,0.79104537,0.0,False,True,True,2025-03-31,24.18521408100617,38.39991061172163,,3,True,True,False,True,0,0,,782,2026-04-24,True,0,,0,True,50,2026-04-24 11:03:15.866099+00:00
360ONE,360 ONE WAM LIMITED,Financial Services,Asset Management,True,partial,1,True,True,True,7,7,20,7,7,4,4,7,0,2020-03-31,2026-03-31,2026-04-26,42238.4500736,35.590553,4.4976873,1.73,True,True,True,2026-03-31,12.365043134344292,11.009635976809994,1.6063799177473552,,True,True,True,False,8,8,2026-04-29,64,2026-04-24,True,18,2025-10-27,1,True,70,2026-04-29 09:42:31.243226+00:00
3BBLACKBIO,3B Blackbio Dx Limited,,,True,incomplete,10,False,False,False,0,0,0,0,0,0,0,0,0,,,2026-04-26,,,3.7170765,0.0,False,True,False,,,,,,False,False,False,False,0,0,,5,2026-04-24,True,0,,0,False,,
3IINFOLTD,3i Infotech Limited,Technology,Information Technology Services,True,complete,0,True,True,True,4,4,14,4,4,4,4,4,0,2022-03-31,2025-03-31,2026-04-26,365.860224,5.8799996,0.96646935,0.0,True,True,True,2025-03-31,8.260557872784151,12.486838197575528,0.20695385818561002,6,True,True,True,True,0,0,,377,2026-04-24,True,0,,0,True,48,2026-04-24 07:47:48.749278+00:00
3IINFOTECH,,,,True,incomplete,12,False,False,False,3,3,12,3,3,0,0,3,0,2019-03-31,2021-03-31,,,,,,False,False,False,2021-03-31,,,,,False,False,False,False,0,0,,42,2021-06-08,False,0,,0,False,,
3MINDIA,3M India Limited,Industrials,Conglomerates,True,complete,0,True,True,True,8,8,29,8,8,4,4,8,0,2018-03-31,2025-03-31,2026-04-26,36763.5562496,97.08752,22.82851,0.49,True,True,True,2025-03-31,25.782193298022865,43.1388493982782,0.05390493750625847,4,True,True,True,True,1,1,2026-04-21,782,2026-04-24,True,4,2025-07-25,0,True,70,2026-04-29 09:43:29.978844+00:00
3PLAND,3P Land Holdings Limited,,,True,incomplete,7,False,False,False,8,8,25,8,8,0,4,8,0,2018-03-31,2025-03-31,2026-04-26,,,,0.0,False,False,False,2025-03-31,1.4961579619840448,1.4097613176383008,,2,True,True,False,True,0,0,,371,2026-04-24,True,0,,0,True,42,2026-04-23 08:23:14.629291+00:00
4THDIM,,,,True,incomplete,12,False,False,False,0,0,0,0,0,0,0,0,0,,,,,,,,False,False,False,,,,,,False,False,False,False,0,0,,53,2022-12-05,False,0,,0,False,,
5PAISA,5Paisa Capital Limited,Financial Services,Capital Markets,True,complete,0,True,True,True,7,7,24,7,6,4,4,7,0,2019-03-31,2025-03-31,2026-04-26,1526.2010368,23.421583,1.6211936,0.0,True,True,True,2025-03-31,11.30371975442398,14.8167364546719,0.36017374536563057,6,True,True,True,True,0,0,,527,2026-04-24,True,0,,0,True,62,2026-04-24 16:46:36.048995+00:00
