ticker,company_name,sector,market_cap_category,has_market_cap,has_annual_financials,deactivated_on
08GPG,Nippon India Mutual Fund,,,FALSE,FALSE,2026-04-30
08MPD,Nippon India Mutual Fund,,,FALSE,FALSE,2026-04-30
11AGG,Nippon India Mutual Fund,,,FALSE,FALSE,2026-04-30
11AMD,Nippon India Mutual Fund,,,FALSE,FALSE,2026-04-30
11AQD,Nippon India Mutual Fund,,,FALSE,FALSE,2026-04-30
11DPD,Nippon India Mutual Fund,,,FALSE,FALSE,2026-04-30
11DPR,Nippon India Mutual Fund,,,FALSE,FALSE,2026-04-30
11GPG,Nippon India Mutual Fund,,,FALSE,FALSE,2026-04-30
11MPD,Nippon India Mutual Fund,,,FALSE,FALSE,2026-04-30
11MPR,Nippon India Mutual Fund,,,FALSE,FALSE,2026-04-30
11QPD,Nippon India Mutual Fund,,,FALSE,FALSE,2026-04-30
1STCUS,FIRST CUSTODIAN FUND (INDIA) L,,,FALSE,FALSE,2026-04-30
3BBLACKBIO,3B Blackbio Dx Limited,Healthcare,,FALSE,FALSE,2026-04-30
3IINFOTECH,,IT,,FALSE,TRUE,2026-04-30
3PLAND,3P Land Holdings Limited,Financial Services,,FALSE,TRUE,2026-04-30
4THDIM,,,,FALSE,FALSE,2026-04-30
505196,TIL Ltd.,,,FALSE,FALSE,2026-04-30
7SEASL,7SEAS ENTERTAINMENT LIMITED,,,FALSE,FALSE,2026-04-30
7TEC,SAVEN TECHNOLOGIES LTD.,,,FALSE,FALSE,2026-04-30
A1L,A-1 LIMITED,,,FALSE,FALSE,2026-04-30
AADIIND,AADI INDUSTRIES LTD.,,,FALSE,FALSE,2026-04-30
AAIL,Akar Auto Industries Limited,,,FALSE,FALSE,2026-04-30
AAKAAR,,,,FALSE,FALSE,2026-04-30
AARADHYA,,,,FALSE,FALSE,2026-04-30
AARNAV,Aarnav Fashions Limited,Textiles,,FALSE,FALSE,2026-04-30
AARVEEDEN,,,,FALSE,FALSE,2026-04-30
AASTAFIN,Aastamangalam Finance Limited,,,FALSE,FALSE,2026-04-30
AATMAJ,,,,FALSE,FALSE,2026-04-30
AAYUSH,AAYUSH WELLNESS LIMITED,,,FALSE,FALSE,2026-04-30
ABANSENT,Abans Enterprises Limited,Metals & Mining,,FALSE,FALSE,2026-04-30
ABATEAS,ABATE AS INDUSTRIES LIMITED,,,FALSE,FALSE,2026-04-30
ABCINDQ,ABC INDIA LTD.,,,FALSE,FALSE,2026-04-30
ABGSEC,,Financial Services,,FALSE,FALSE,2026-04-30
ABHAPOWER,,,,FALSE,FALSE,2026-04-30
ABHICAP,ABHINAV CAPITAL SERVICES LTD.,,,FALSE,FALSE,2026-04-30
ABHIFIN,Abhishek Finlease limited,,,FALSE,FALSE,2026-04-30
ABLBL,Aditya Birla Lifestyle Brands Limited,Consumer Cyclical,,TRUE,FALSE,2026-04-30
ABMINTLTD,,SERVICES,,FALSE,TRUE,2026-04-30
ABMKNO,ABM Knowledgeware Limited,Information Technology,,FALSE,FALSE,2026-04-30
ABSL10BANK,,Financial Services,,FALSE,FALSE,2026-04-30
ABSLBANETF,,,,FALSE,FALSE,2026-04-30
ABSLLIQUID,,Financial Services,,FALSE,FALSE,2026-04-30
ABSLMSCIN,,Financial Services,,FALSE,FALSE,2026-04-30
ABSLNN50ET,,,,FALSE,FALSE,2026-04-30
ABSLNN50ET.BO,Aditya Birla Sun Life Mutual F,,,FALSE,FALSE,2026-04-30
ABSLPSE,,Financial Services,,FALSE,FALSE,2026-04-30
ABSLPSE.BO,Aditya Birla Sun Life Mutual F,,,FALSE,FALSE,2026-04-30
ABSMARINE,,,,FALSE,FALSE,2026-04-30
ACCEL,ACCEL LIMITED,,,FALSE,FALSE,2026-04-30
ACCENTMIC,,,,FALSE,FALSE,2026-04-30
ACCORD,,,,FALSE,FALSE,2026-04-30
ACCPL,,,,FALSE,FALSE,2026-04-30
ACEMEN,ACE MEN ENGG WORKS LIMITED,,,FALSE,FALSE,2026-04-30
ACESEPP,Ace Software Exports ltd.,,,FALSE,FALSE,2026-04-30
ACESOFT,ACE SOFTWARE EXPORTS LTD.,,,FALSE,FALSE,2026-04-30
ACGL,AUTOMOBILE CORPORATION OF GOA,,,FALSE,FALSE,2026-04-30
ACHYUT,Achyut Healthcare Limited,,,FALSE,FALSE,2026-04-30
ACKNIT,ACKNIT INDUSTRIES LTD.,,,FALSE,FALSE,2026-04-30
ACROW,ACROW INDIA LTD.,,,FALSE,FALSE,2026-04-30
ACRYSIL,,,,FALSE,FALSE,2026-04-30
ACSTECH,ACS Technologies Limited,Information Technology,,FALSE,FALSE,2026-04-30
ACTIVE,Active Clothing Co  Limited,,,FALSE,FALSE,2026-04-30
ACTIVEINFR,,,,FALSE,FALSE,2026-04-30
ADANITRANS,,,,FALSE,FALSE,2026-04-30
ADARSHPL,ADARSH PLANT PROTECT LTD.,,,FALSE,FALSE,2026-04-30
ADCINDIA,ADC INDIA COMMUNICATIONS LIMIT,,,FALSE,FALSE,2026-04-30
ADCON,Adcon Capital Services Limited,,,FALSE,FALSE,2026-04-30
ADDICTIVE,,,,FALSE,FALSE,2026-04-30
ADDIND,ADDI INDUSTRIES LTD.,,,FALSE,FALSE,2026-04-30
ADHBHUTIN,Adhbhut Infrastructure Ltd.,,,FALSE,FALSE,2026-04-30
ADHHATA,ADHATA GLOBAL LIMITED,,,FALSE,FALSE,2026-04-30
ADHUNIKIND,,,,FALSE,FALSE,2026-04-30
ADINATH,ADINATH TEXTILES LTD.,,,FALSE,FALSE,2026-04-30
ADITYA,ADITYA ISPAT LTD.,,,FALSE,FALSE,2026-04-30
ADITYASP,ADITYA SPINNERS LTD.,,,FALSE,FALSE,2026-04-30
ADMANUM,AD-MANUM FINANCE LTD.,,,FALSE,FALSE,2026-04-30
ADORWELD,,,,FALSE,FALSE,2026-04-30
ADTECH,ADTECH SYSTEMS LIMITED,,,FALSE,FALSE,2026-04-30
ADVIKCA,Advik Capital Limited,,,FALSE,FALSE,2026-04-30
ADVLIFE,ADVANCE LIFESTYLES LTD.,,,FALSE,FALSE,2026-04-30
AEGISCHEM,,,,FALSE,FALSE,2026-04-30
AEIM,Artificial Electronics Intelli,,,FALSE,FALSE,2026-04-30
AEL,Amba Enterprises Ltd.,,,FALSE,FALSE,2026-04-30
AEONXDIGI,Aeonx Digital Technology Limit,,,FALSE,FALSE,2026-04-30
AERON,,,,FALSE,FALSE,2026-04-30
AESTHETIK,,,,FALSE,FALSE,2026-04-30
