ticker,name,sector
A,Agilent Technologies,Healthcare
AA,Alcoa Corp,Materials
AADLS,AADLS,General
AAHIF,AAHIF,General
AAIGF,AAIGF,Financials
AAL,American Airlines Group,Industrials
AAOI,AAOI,Technology
AAON,AAON,Industrials
AAPL,Apple Inc,Technology
AAVXF,AAVXF,Healthcare
ABAT,ABAT,Industrials
ABBRF,ABBRF,Materials
ABBV,AbbVie Inc,Healthcare
ABCB,ABCB,Financials
ABCCF,ABCCF,Financials
ABDDF,ABDDF,General
ABEO,ABEO,Healthcare
ABLGF,ABLGF,Technology
ABNB,Airbnb Inc,Consumer Discretionary
ABSI,ABSI,Healthcare
ABT,Abbott Laboratories,Healthcare
ACAD,Acadia Pharmaceuticals,Healthcare
ACAZF,ACAZF,Materials
ACCO,ACCO,Industrials
ACDVF,ACDVF,Industrials
ACEL,ACEL,General
ACHC,ACHC,Healthcare
ACHR,ACHR,Industrials
ACHWS,ACHWS,General
ACIU,ACIU,Healthcare
ACJJF,ACJJF,Financials
ACLLF,ACLLF,Utilities
ACM,ACM,Industrials
ACMR,ACMR,Technology
ACN,Accenture PLC,Technology
ACNB,ACNB,Financials
ACOPF,ACOPF,General
ACRFF,ACRFF,General
ACRXF,ACRXF,Materials
ACT,ACT,Financials
ACVA,ACVA,General
AD,AD,Communication Services
ADAC,ADAC,General
ADBE,Adobe Inc,Technology
ADBKF,ADBKF,Financials
ADEA,ADEA,Technology
ADI,Analog Devices,Technology
ADKCF,ADKCF,General
ADM,Archer-Daniels-Midland,Consumer Staples
ADP,ADP,Technology
ADSK,Autodesk Inc,Technology
ADSLF,ADSLF,Materials
ADUR,ADUR,Industrials
ADYYF,ADYYF,Technology
AEAQ,AEAQ,Financials
AEE,AEE,Utilities
AEHQS,AEHQS,General
AEHR,AEHR,Technology
AEIES,AEIES,General
AEIS,AEIS,Industrials
AEMFF,AEMFF,Technology
AEMMF,AEMMF,Utilities
AEO,AEO,General
AEOJF,AEOJF,Financials
AEOXF,AEOXF,Industrials
AEP,American Electric Power,Utilities
AES,AES Corp,Utilities
AEXA,AEXA,General
AFBOF,AFBOF,Materials
AFGZF,AFGZF,Industrials
AFL,Aflac Inc,Financials
AFRAF,AFRAF,Industrials
AFRI,AFRI,General
AFRM,AFRM,Financials
AGCC,AGCC,General
AGCO,AGCO,Industrials
AGESF,AGESF,Financials
AGFMF,AGFMF,Financials
AGGZF,AGGZF,Industrials
AGLFF,AGLFF,Healthcare
AGLNF,AGLNF,Utilities
AGLRF,AGLRF,General
AGM,AGM,Financials
AGO,AGO,Financials
AGPPF,AGPPF,Materials
AGRO,AGRO,General
AGRPF,AGRPF,Financials
AGRUF,AGRUF,Industrials
AGX,AGX,Industrials
AHASS,AHASS,General
AHATS,AHATS,General
AHBTS,AHBTS,General
AHBYS,AHBYS,General
AHCHF,AHCHF,Materials
AHCNS,AHCNS,General
AHCRS,AHCRS,General
AHCTS,AHCTS,General
AHCUS,AHCUS,General
AHDNS,AHDNS,General
AHDTS,AHDTS,General
AHDVS,AHDVS,General
AHDWS,AHDWS,General
AHELS,AHELS,General
AHFKS,AHFKS,General
AHFLS,AHFLS,General
AHFOS,AHFOS,General
AHGDS,AHGDS,General
AHHGS,AHHGS,General
AHHLF,AHHLF,Industrials
AHJCS,AHJCS,General
AHJPS,AHJPS,General
AHKLS,AHKLS,General
AHKNS,AHKNS,General
AHKRS,AHKRS,General
AHKSF,AHKSF,Industrials
AHKYS,AHKYS,General
AHLAS,AHLAS,General
AHLJS,AHLJS,General
AHLSS,AHLSS,General
AHLUS,AHLUS,General
AHLVS,AHLVS,General
AHMCS,AHMCS,General
AHMDS,AHMDS,General
AHMLS,AHMLS,General
AHMRS,AHMRS,General
AHMTS,AHMTS,General
AHNTS,AHNTS,General
AHOBS,AHOBS,General
AHOSS,AHOSS,General
AHPNS,AHPNS,General
AHRDS,AHRDS,General
AHRKS,AHRKS,General
AHRSS,AHRSS,General
AHSBS,AHSBS,General
AHSFS,AHSFS,General
AHSJS,AHSJS,General
AHSLS,AHSLS,General
AHSMS,AHSMS,General
AHSQS,AHSQS,General
AHSRS,AHSRS,General
AHSUS,AHSUS,General
AHSYS,AHSYS,General
AHVGS,AHVGS,General
AHVRS,AHVRS,General
AHWNS,AHWNS,General
AHWSF,AHWSF,General
AHWTS,AHWTS,General
AHWWS,AHWWS,General
AI,AI,Technology
AIB,AIB,General
AICHF,AICHF,Materials
AICXF,AICXF,Industrials
AIG,American International Group,Financials
AII,AII,Financials
AIKCF,AIKCF,Industrials
AIN,AIN,General
AIRO,AIRO,Industrials
AIT,Applied Industrial Technologies,Industrials
AIVAF,AIVAF,Financials
AIVBS,AIVBS,General
AJG,AJG,Financials
AJMPF,AJMPF,Financials
AKAAF,AKAAF,Industrials
AKBA,AKBA,Healthcare
AKBKF,AKBKF,General
AKESF,AKESF,Healthcare
AKKVF,AKKVF,Energy
AKPPS,AKPPS,General
AKRBF,AKRBF,Energy
AKTS,AKTS,Healthcare
AKZOF,AKZOF,Materials
AL,AL,Industrials
ALAB,Astera Labs,Technology
ALB,Albemarle Corp,Materials
ALCO,ALCO,General
ALEGF,ALEGF,General
ALEX,Alexander & Baldwin,Real Estate
ALGIF,ALGIF,General
ALGN,Align Technology,Healthcare
ALGT,ALGT,Industrials
ALH,ALH,General
ALK,Alaska Air Group,Industrials
ALKS,ALKS,Healthcare
ALKT,ALKT,Technology
ALL,Allstate Corp,Financials
ALLE,ALLE,Industrials
ALLO,ALLO,Healthcare
ALNPF,ALNPF,Industrials
ALNT,ALNT,Technology
ALNY,Alnylam Pharmaceuticals,Healthcare
ALPC,ALPC,General
ALPIB,ALPIB,Financials
ALRHF,ALRHF,Real Estate
ALSAF,ALSAF,Financials
ALSN,Allison Transmission,Industrials
ALTB,ALTB,General
ALTO,ALTO,Materials
ALVOF,ALVOF,Energy
ALXO,ALXO,Healthcare
ALZCF,ALZCF,Materials
AM,Antero Midstream,Energy
AMAL,AMAL,Financials
AMANF,AMANF,Technology
AMAT,Applied Materials,Technology
AMBA,AMBA,Technology
AMBFF,AMBFF,Healthcare
AMCR,AMCR,General
AMCX,AMCX,Communication Services
AMD,Advanced Micro Devices,Technology
AMDUF,AMDUF,Financials
AME,AMETEK Inc,Industrials
AMFPF,AMFPF,Healthcare
AMG,Affiliated Managers Group,Financials
AMGN,Amgen Inc,Healthcare
AMH,American Homes 4 Rent,Real Estate
AMKBF,AMKBF,Industrials
AMLRS,AMLRS,General
AMLX,AMLX,Healthcare
AMP,Ameriprise Financial,Financials
AMPX,AMPX,Industrials
AMRC,AMRC,Industrials
